Gender,Hight,GenType,HairColor,EyeColor,Income,WeeklyWorkingHoours,PlaceOfResidence,EmptyEyes
Female,157.90165173925703,I,Red,Brown,280383.1558643176,25.397309552351366,Other,no
Male,176.75512538773148,I,Dark,Green,243629.52659855774,35.375588416515406,Other,no
Male,181.6049429199965,J,Red,Brown,228779.99711082707,42.20272907233688,Copenhagen,yes
Female,159.61455753964978,I,Blond,Blue,369937.92572706845,40.48241320111342,Other,no
Male,181.63955884424263,J,Dark,Green,324931.59833237383,39.97482588397589,Copenhagen,no
Female,167.17195518464297,J,Blond,Blue,359924.29012943886,38.65585348618889,Aarhus,no
Female,164.12200089838353,J,Blond,Blue,406630.95262303704,49.50720396676148,Other,yes
Male,176.0948802911155,I,Blond,Blue,444489.13035157014,69.69465144464353,Copenhagen,yes
Female,161.37509908118767,I,Blond,Blue,196120.9186368371,35.917263910731506,Copenhagen,no
Female,160.75328015833418,I,Dark,Green,206672.35477110534,44.795664539235176,Copenhagen,no
Male,183.7901084117853,K,Blond,Blue,265540.4077754556,42.816312371613705,Other,no
Female,158.80530707359722,I,Blond,Blue,254617.01174024807,35.14359147975617,Copenhagen,no
Male,173.93882345934463,I,Blond,Brown,298577.5257442602,49.26472320844458,Copenhagen,yes
Male,176.20690590532655,I,Red,Green,221229.05201548457,32.27433206316111,Other,no
Female,159.49767404857047,I,Blond,Blue,138507.7064167454,27.104037303256312,Copenhagen,no
Male,175.9494765624546,I,Dark,Green,162244.67838758367,22.44562420272908,Other,no
Female,159.22062282867483,I,Red,Green,379728.2908388439,42.01124055493617,Copenhagen,no
Female,163.39052862675348,I,Red,Brown,256761.8890075314,22.016817414127615,Other,no
Female,162.59819707177832,I,Blond,Blue,404829.70548650407,54.87942098580124,Copenhagen,yes
Male,182.88680997877472,J,Red,Brown,355451.21046706394,40.81914365167532,Other,yes
Female,166.1086824061341,J,Red,Brown,282997.65793380863,36.9413350447679,Other,yes
Male,172.3489316852773,I,Dark,Green,485118.28133771947,50.15008819998299,Other,no
Female,158.8183490338815,I,Dark,Green,389145.68134200404,38.8750698763318,Other,no
Female,165.7026199766993,J,Dark,Green,171800.216504907,18.683542315094243,Aarhus,no
Male,186.0775232770866,K,Dark,Green,269957.403556476,40.69419058173507,Other,no
Female,163.30000272618148,I,Blond,Blue,310261.61251075374,39.34040496776236,Copenhagen,no
Female,168.44159662974707,J,Red,Brown,348063.60382409225,51.52137402316165,Aarhus,yes
Female,163.32640558620585,I,Blond,Blue,242518.70024106168,31.978372289387085,Copenhagen,no
Male,179.35069307357898,J,Blond,Brown,435081.3210537626,48.036813680152456,Other,yes
Female,159.2108749462486,I,Dark,Green,243175.8119838348,43.93447771454709,Other,no
Male,179.13702011712311,J,Red,Blue,457451.55985902634,64.92804440206056,Copenhagen,yes
Female,160.61506010793025,I,Dark,Blue,174896.6738286792,23.104314927909485,Aarhus,no
Male,175.15405518658264,I,Red,Brown,317805.4068405189,46.74097784458248,Other,yes
Male,173.72850657180157,I,Red,Brown,201207.3952419086,16.988786354728074,Aarhus,no
Female,166.9710737610347,J,Red,Brown,463068.55542738567,59.501755557407165,Copenhagen,yes
Female,163.5283511862417,J,Dark,Brown,429074.1844636059,44.97560180825636,Other,no
Male,178.17020239971202,I,Blond,Blue,422418.59289337357,52.984052604696195,Copenhagen,yes
Female,169.96671694355283,J,Blond,Blue,402700.8848789222,56.03269510589202,Other,yes
Female,168.23072694372811,J,Red,Green,508109.4866815355,64.6787708339128,Other,yes
Female,161.7850783966683,I,Blond,Blue,467086.9894663051,38.256940337362316,Other,no
Female,165.65771256313133,J,Red,Brown,419183.8598925457,42.71223734669469,Other,yes
Female,159.52911653236188,I,Blond,Brown,289267.8287443517,44.366529570730194,Other,no
